ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
10MC023,2,8,2015,10.860,,11.048,,11.180,,11.277,,12.101,,11.292,,11.014,,11.117,,11.240,,10.821,,10.622,,10.509,,11.090
10MC023,2,8,2016,10.672,,10.696,,10.808,,10.891,,12.032,,11.451,,11.380,,11.086,,11.126,,10.775,,10.640,,10.570,,11.012
10MC023,2,8,2017,10.773,,10.839,,10.892,,10.993,,11.847,,,,,,,,10.884,,10.807,,10.587,,10.443,,
10MC010,2,8,2011,,,,,,,,,10.431,,10.320,,9.950,,9.774,,9.576,,9.383,,9.252,,9.362,,
10MC010,2,8,2012,9.572,,9.756,,9.841,,9.989,,10.716,,10.406,,10.007,,9.877,,9.847,,9.731,,9.504,,9.417,,9.889
10MC010,2,8,2013,,,,,,,10.043,,10.596,,,,10.006,,9.814,,9.715,,9.579,,9.542,,9.340,,
10MC010,2,8,2014,9.612,,9.749,,,,,,,,,,,,,,,,,,,,,,
10MC010,2,8,2015,,,9.768,,,,10.047,,,,,,,,9.794,,9.806,,9.663,,9.541,,9.365,,
10MC010,2,8,2016,9.492,,9.506,,9.611,,9.696,,10.767,,9.981,,9.979,,9.713,,9.826,,9.520,,9.385,,9.344,,9.736
10MC010,2,8,2017,9.575,,9.661,,9.738,,9.851,,,,,,9.975,,9.746,,9.600,,9.607,,,,9.230,,
10MC003,1,1,2011,126,,111,,94.8,,99.4,,591,,1190,,867,,728,,550,,359,,197,,144,,423
10MC003,1,1,2012,143,,127,,108,,95.6,,769,,1660,,1040,,613,,624,,498,,310,,177,,514
10MC003,1,1,2013,158,,152,,142,,137,,615,,2100,,1010,,702,,661,,486,,252,,171,,549
10MC003,1,1,2014,168,,156,,143,,134,,601,,1150,,845,,634,,522,,403,,211,,148,,428
10MC003,1,1,2015,138,,122,,109,,96.4,,891,,955,,669,,649,,807,,445,,258,,172,,444
10MC003,1,1,2016,167,,,,,,,,,,,,,,,,,,,,,,,,
10MC003,1,1,2017,136,,118,,109,,100,,632,,1220,,908,,725,,621,,533,,293,,202,,469
10MC003,2,8,2011,,,,,10.212,,10.311,,11.773,,12.326,,11.531,,11.221,,10.777,,10.333,,10.147,,10.187,,
10MC003,2,8,2012,,,,,,,10.543,,12.050,,,,11.718,,10.891,,11.014,,10.681,,10.362,,,,
10MC003,2,8,2013,,,10.402,,10.461,,10.566,,11.545,,,,11.651,,11.086,,11.044,,10.589,,10.452,,10.162,,
10MC003,2,8,2014,10.398,,10.463,,10.498,,10.572,,12.333,,12.127,,11.370,,10.964,,10.682,,10.583,,10.012,,10.068,,10.842
10MC003,2,8,2015,10.290,,10.404,,10.524,,10.617,,12.635,,11.582,,11.026,,11.063,,11.443,,10.657,,10.325,,10.137,,10.895
10MC003,2,8,2016,10.267,,,,,,,,,,,,,,,,,,,,,,,,
10MC003,2,8,2017,,,,,10.323,,10.386,,,,12.169,,11.506,,11.007,,10.767,,10.610,,10.307,,10.030,,
10MC003,2,8,2019,10.182,,10.251,,,,10.366,,,,11.332,,10.943,,11.247,,10.849,,10.552,,10.287,,10.234,,
10MC011,2,8,2011,,,9.324,,9.415,,9.542,,10.055,,,,9.451,,9.342,,9.247,,9.112,,9.120,,9.229,,
10MC011,2,8,2012,,,,,9.692,,9.817,,10.301,,10.120,,9.519,,9.460,,9.465,,9.431,,9.277,,,,
10MC011,2,8,2013,,,,,,,9.874,,10.255,,10.392,,9.537,,9.414,,9.368,,9.236,,9.332,,9.178,,
10MC011,2,8,2014,9.435,,9.567,,9.681,,9.796,,10.307,,9.874,,9.496,,9.255,,9.294,,9.273,,8.964,,9.178,,9.510
10MC011,2,8,2015,9.461,,9.662,,9.792,,9.892,,10.355,,9.509,,9.406,,,,,,9.369,,9.245,,9.210,,
10MC011,2,8,2016,9.370,,9.417,,9.540,,9.631,,,,,,,,,,,,9.261,,9.201,,9.201,,
10MC011,2,8,2017,9.412,,,,,,9.681,,10.259,,,,9.555,,9.418,,9.280,,9.269,,9.143,,9.050,,
10LC014,1,1,2011,4160,,3870,,3500,,3390,,12600,,18600,,17900,,15100,,12100,,9870,,4110,,4230,,9160
10LC014,1,1,2012,4700,,4100,,3800,,3950,,15000,,25100,,16900,,12000,,12400,,9470,,4520,,4160,,9690
10LC014,1,1,2013,4900,,4210,,3930,,3850,,12900,,24600,,17500,,13900,,12300,,10600,,5250,,3940,,9860
10LC014,1,1,2014,4720,,4580,,4120,,3550,,14500,,19000,,16200,,11800,,9510,,8010,,3660,,3350,,8620
10LC014,1,1,2015,3560,,3330,,3260,,3470,,15300,,14600,,12500,,12700,,12500,,9660,,6120,,3840,,8440
10LC014,1,1,2016,4030,,3670,,3480,,3430,,16800,,17100,,15700,,12200,,12400,,9180,,5210,,3860,,8940
10LC014,1,1,2017,3770,,3580,,3570,,4010,,16000,,18400,,17000,,12900,,10300,,8910,,4810,,3820,,8960
10LC014,1,1,2018,4030,,3850,,3540,,3500,,15000,,15400,,16500,,12400,,10200,,7090,,3320,,3190,,8200
10LC014,1,1,2019,4170,,4100,,3630,,4130,,9860,,12900,,11900,,11400,,10500,,8730,,4890,,3660,,7510
10LC014,2,8,2011,3.544,,3.155,,2.889,,2.899,,6.264,,5.954,,5.706,,5.050,,4.260,,3.678,,4.391,,4.386,,4.358
10LC014,2,8,2012,,,3.863,,3.536,,3.357,,7.041,,7.306,,5.496,,4.235,,4.323,,3.644,,4.397,,4.249,,
10LC014,2,8,2013,4.449,,4.049,,3.732,,3.565,,6.665,,7.296,,5.663,,4.742,,4.313,,3.865,,4.433,,4.403,,4.769
10LC014,2,8,2014,4.599,,4.334,,3.986,,3.786,,6.995,,6.030,,5.336,,4.179,,3.537,,3.383,,4.098,,,,
10LC014,2,8,2015,3.725,,,,,,,,7.099,,,,4.378,,4.412,,4.363,,3.636,,4.356,,3.902,,
10LC014,2,8,2016,3.844,,3.469,,3.241,,3.160,,,,5.565,,5.196,,4.269,,4.318,,3.882,,,,,,
